WKT,name,description
"POINT (11.82977 58.055955 0.0)",K-Klassrum,
"POINT (11.828231 58.056105 0.0)",K-Gymnasiet,
"POINT (11.827606 58.058094 0.0)",K-Ucklum,
"POINT (11.822531 58.056453 0.0)",K-Nösnäs,
"POINT (11.817054 58.050819 0.0)",K-Camping,
"POINT (11.837114 58.051858 0.0)",K-Hallerna,
"POINT (11.831448 58.061398 0.0)",K-Kvarnberg,
"POINT (11.832236 58.062904 0.0)",K-Skogsbryn,
"POINT (11.823082 58.05865 0.0)",K-Solgård,
"POINT (11.831359 58.056002 0.0)",K-Backen,
"POINT (11.838289 58.059198 0.0)",K-Älvhem,
"POINT (11.828009 58.063416 0.0)",K-Kristinedal,
"POINT (11.82621 58.04983 0.0)",K-Strandnorum,
"POINT (11.851093 58.058406 0.0)",K-Tuvull,
"POINT (11.854995 58.056467 0.0)",K-Kyrkenorum,
