WKT,name,description
"LINESTRING (11.82977 58.055955 0.0, 11.829591 58.055735 0.0, 11.828372 58.055965 0.0, 11.828232 58.056106 0.0)",130 m,
"LINESTRING (11.828232 58.056106 0.0, 11.828162 58.055924 0.0, 11.827779 58.055493 0.0)",80 m,
"LINESTRING (11.827779 58.055493 0.0, 11.827864 58.055472 0.0, 11.827897 58.055423 0.0, 11.82801 58.055369 0.0, 11.829736 58.054906 0.0, 11.830025 58.054846 0.0, 11.830324 58.05483 0.0, 11.83058 58.054866 0.0, 11.832683 58.055245 0.0, 11.832932 58.055272 0.0, 11.834099 58.055347 0.0, 11.834153 58.055267 0.0, 11.834227 58.055201 0.0, 11.834265 58.055103 0.0, 11.834297 58.054995 0.0, 11.834349 58.054896 0.0, 11.834405 58.054793 0.0, 11.834547 58.054535 0.0, 11.83469 58.054294 0.0, 11.834696 58.054265 0.0, 11.834738 58.054242 0.0)",540 m,
"LINESTRING (11.827779 58.055493 0.0, 11.827469 58.055523 0.0, 11.827056 58.055392 0.0, 11.826627 58.055083 0.0, 11.826235 58.054978 0.0, 11.825479 58.054972 0.0, 11.825237 58.054915 0.0, 11.824765 58.054598 0.0, 11.823676 58.054325 0.0, 11.823183 58.05416 0.0, 11.822453 58.05384 0.0, 11.821648 58.053783 0.0, 11.821015 58.053221 0.0, 11.820983 58.053073 0.0, 11.821144 58.052914 0.0)",540 m,
"LINESTRING (11.831359 58.056002 0.0, 11.831134 58.056134 0.0, 11.831264 58.056313 0.0, 11.831401 58.056391 0.0, 11.831578 58.05644 0.0, 11.831666 58.056568 0.0, 11.831902 58.056669 0.0, 11.832414 58.05709 0.0, 11.832583 58.05722 0.0, 11.833203 58.057151 0.0, 11.833517 58.057136 0.0, 11.833855 58.057157 0.0, 11.834056 58.05714 0.0, 11.834761 58.057045 0.0)",310 m,
"LINESTRING (11.828231 58.056105 0.0, 11.828027 58.056367 0.0, 11.827784 58.056434 0.0, 11.827313 58.056488 0.0, 11.827069 58.0565 0.0, 11.825955 58.056721 0.0, 11.825939 58.056823 0.0, 11.825617 58.056931 0.0, 11.825424 58.056948 0.0, 11.825092 58.056928 0.0, 11.824094 58.057019 0.0, 11.823547 58.056953 0.0, 11.823409 58.056944 0.0, 11.823177 58.056936 0.0, 11.82308 58.056865 0.0, 11.823069 58.056508 0.0, 11.822967 58.056448 0.0, 11.822531 58.056453 0.0)",430 m,
"LINESTRING (11.828231 58.056105 0.0, 11.828027 58.056367 0.0, 11.827784 58.056434 0.0, 11.827313 58.056488 0.0, 11.8273 58.056598 0.0, 11.827519 58.057212 0.0, 11.827592 58.057412 0.0, 11.827598 58.057843 0.0, 11.827606 58.058094 0.0)",260 m,
"LINESTRING (11.834761 58.057045 0.0, 11.834056 58.05714 0.0, 11.833855 58.057157 0.0, 11.833517 58.057136 0.0, 11.833203 58.057151 0.0, 11.832583 58.05722 0.0, 11.832023 58.057397 0.0, 11.831481 58.05752 0.0, 11.830134 58.057637 0.0, 11.82989 58.057617 0.0, 11.82798 58.057222 0.0, 11.827723 58.057178 0.0, 11.827519 58.057212 0.0, 11.827592 58.057412 0.0, 11.827606 58.058094 0.0)",550 m,
"LINESTRING (11.827606 58.058094 0.0, 11.827762 58.058382 0.0, 11.828135 58.059112 0.0, 11.829085 58.059408 0.0, 11.829772 58.059654 0.0, 11.829873 58.059859 0.0, 11.829562 58.059941 0.0)",280 m,
"LINESTRING (11.827606 58.058094 0.0, 11.825803 58.058236 0.0, 11.82452 58.058444 0.0)",190 m,
"LINESTRING (11.823086 58.058651 0.0, 11.823212 58.058907 0.0, 11.823202 58.059034 0.0, 11.822257 58.060133 0.0, 11.822236 58.060337 0.0, 11.822096 58.060542 0.0)",230 m,
"LINESTRING (11.822531 58.056453 0.0, 11.822536 58.056574 0.0, 11.82249 58.056674 0.0, 11.822391 58.05677 0.0, 11.822337 58.056889 0.0, 11.822254 58.057271 0.0, 11.822265 58.057383 0.0, 11.822321 58.057682 0.0, 11.822324 58.057836 0.0, 11.82231 58.057946 0.0, 11.822243 58.05812 0.0, 11.822026 58.058481 0.0, 11.821916 58.058635 0.0, 11.821964 58.05866 0.0, 11.822278 58.058717 0.0, 11.822452 58.058728 0.0, 11.822742 58.058703 0.0, 11.823082 58.05865 0.0)",330 m,
"LINESTRING (11.822531 58.056453 0.0, 11.821929 58.056418 0.0, 11.821797 58.056363 0.0, 11.821749 58.056306 0.0, 11.821384 58.056295 0.0, 11.821245 58.056313 0.0, 11.821207 58.056404 0.0, 11.821229 58.056461 0.0)",100 m,
"LINESTRING (11.821229 58.056461 0.0, 11.821274 58.056594 0.0, 11.821245 58.056651 0.0, 11.820762 58.056803 0.0, 11.820617 58.05687 0.0, 11.820183 58.0572 0.0, 11.819507 58.057693 0.0, 11.819461 58.057754 0.0, 11.819534 58.057933 0.0, 11.819542 58.058021 0.0, 11.819477 58.05812 0.0, 11.819322 58.058292 0.0, 11.818938 58.058588 0.0, 11.81864 58.058764 0.0, 11.818372 58.058898 0.0, 11.818005 58.059066 0.0)",370 m,
"LINESTRING (11.821229 58.056461 0.0, 11.821207 58.056404 0.0, 11.821245 58.056313 0.0, 11.821595 58.056054 0.0, 11.82173 58.056 0.0, 11.821695 58.05582 0.0, 11.821426 58.054954 0.0, 11.821223 58.054551 0.0, 11.820944 58.05423 0.0, 11.82016 58.053546 0.0, 11.819098 58.052632 0.0, 11.818691 58.052337 0.0, 11.818235 58.051906 0.0, 11.818052 58.051843 0.0, 11.817859 58.051869 0.0, 11.81773 58.05184 0.0, 11.817156 58.051406 0.0, 11.817076 58.051287 0.0, 11.817054 58.050819 0.0)",730 m,
"LINESTRING (11.817054 58.050819 0.0, 11.816857 58.050811 0.0, 11.816699 58.050866 0.0, 11.816457 58.051102 0.0, 11.815559 58.051695 0.0, 11.814773 58.051919 0.0, 11.814558 58.051938 0.0, 11.814102 58.052203 0.0, 11.813601 58.052456 0.0, 11.813193 58.052559 0.0, 11.81297 58.052559 0.0, 11.812662 58.052608 0.0, 11.812321 58.05268 0.0)",370 m,
