WKT,name,description
"POINT (11.827779 58.055493 0.0)",SNEEZENOSE,
"POINT (11.8347374 58.0542422)",GENOMSKOGEN,
"POINT (11.84201 58.052266 0.0)",KOZON,
"POINT (11.828723 58.051216 0.0)",HALLERNAZON,
"POINT (11.821144 58.052914 0.0)",NÖSNÄSBACKEN,
"POINT (11.821229 58.056461 0.0)",NÖSNÄSÅN,
"POINT (11.812321 58.05268 0.0)",CAMPINGPIREN,
"POINT (11.815722 58.048489 0.0)",SURFVIEW,
"POINT (11.824553 58.058434 0.0)",DRAGKAMP,
"POINT (11.818005 58.059066 0.0)",GULZON,
"POINT (11.813796 58.061953 0.0)",BATHVIEW,
"POINT (11.819742 58.062489 0.0)",SOLGÅRDSSTIG,
"POINT (11.8220913 58.0605416)",INKLÄMDPÅGRÄS,
"POINT (11.82614 58.060435 0.0)",MOVEDWINDMILL,
"POINT (11.829562 58.059941 0.0)",KVARNTÄPPAN,
"POINT (11.829271 58.062224 0.0)",KVARNSKOGEN,
"POINT (11.831229 58.063829 0.0)",STENRYTTARE,
"POINT (11.834362 58.05952 0.0)",TRÄDVÄG,
"POINT (11.841905 58.057059 0.0)",UCKLUMCYKEL,
"POINT (11.834761 58.057045 0.0)",YTTREUCKLUMS,
"POINT (11.822315 58.048337 0.0)",JANSVY,
"POINT (11.835854 58.062459 0.0)",LITESKOGBARA,
"POINT (11.844373 58.06036 0.0)",FRISPEL,
"POINT (11.8404726 58.061064)",HASSELBACKE,
"POINT (11.847441 58.058901 0.0)",TULLAULL,
"POINT (11.827598 58.064512 0.0)",HUSARRONDELL,
"POINT (11.851534 58.056498 0.0)",KRINGELIKROK,
"POINT (11.8518617 58.0533123)",NORUMSKYRKA,
"POINT (11.826277 58.0465 0.0)",BAKOMÄNGEN,
"POINT (11.859443 58.058593 0.0)",TORPZONE,
"POINT (11.8595049 58.0544079)",SKÖNTGRÖNT,
"POINT (11.862805 58.052016 0.0)",MOTFURUFJÄLL,
"POINT (11.849233 58.049399 0.0)",GAMLAHALLERNA,
"POINT (11.851112 58.047458 0.0)",ODLAMEDCYKEL,
